Country,Hip hop/Rap/R&b,EDM,Pop,Rock/Metal,Latin/Reggaeton,Other
australia,31,15,65,17,0,8
canada,39,12,64,14,0,10
china,11,23,108,4,0,21
india,25,1,39,0,0,55
mexico,38,0,18,2,57,43
russia,27,9,48,9,2,9
usa,49,2,33,13,19,11
colombia,50,0,22,0,86,3
france,47,6,50,7,1,22
italy,47,7,35,2,0,9
japan,0,1,63,16,0,17
philippines,21,0,35,3,0,19
spain,54,0,22,0,38,18
united_kingdom,30,25,71,17,0,11
puerto_rico,158,1,40,0,219,14
argentina,59,0,29,0,32,8
germany,41,18,33,3,2,12
israel,11,0,25,5,0,8
paraguay,55,0,22,0,66,6
argentina,59,0,29,0,32,8
germany,41,18,33,3,2,12
israel,11,0,25,5,0,8
paraguay,55,0,22,0,66,6
south_korea,11,0,35,1,0,1
taiwan,3,0,60,2,0,21
ukraine,23,0,26,8,0,15
chile,46,0,14,0,46,31
dominican_republic,53,0,13,0,83,5
indonesia,5,0,32,0,0,19
peru,52,0,25,2,72,8
thailand,7,0,38,4,0,1
turkey,26,0,8,2,0,7
venezuela,45,0,25,0,63,6
denmark,16,8,36,7,0,5
egypt,52,0,26,5,0,6
hong_kong,2,0,74,1,0,4
ireland,24,31,79,9,0,10
morocco,52,1,40,2,0,16
netherlands,13,39,63,7,0,12
norway,13,18,44,5,0,12
portugal,13,7,28,4,0,46
vietnam,19,0,35,2,0,19
bolivia,51,0,29,2,72,8
bulgaria,30,7,52,17,0,20
costa_rica,51,0,25,2,77,9
ecuador,51,0,23,0,82,3
el_salvador,51,0,17,0,81,7
greece,47,0,10,0,0,10
guatemala,42,0,17,0,71,24
honduras,50,0,17,0,86,7
malaysia,9,2,59,3,0,12
panama,50,0,20,0,73,4
poland,38,9,21,6,0,5
sweden,31,17,61,4,0,10
austria,28,17,28,6,2,12
finland,27,5,53,7,0,4
hungary,18,21,33,9,2,8
iceland,22,4,47,11,2,38
lithuania,22,18,41,11,0,12
new_zealand,44,4,48,20,0,10
nicaragua,51,0,15,0,83,7
romania,8,7,18,4,0,4
singapore,12,3,60,4,0,9
south_africa,46,4,59,4,0,21
switzerland,39,25,59,6,2,13
uruguay,50,0,30,0,32,5
czech_republic,42,21,36,17,2,9
indonesia,2,0,27,0,0,21
mongolia,108,0,113,16,0,17
pakistan,32,1,39,1,0,28
philippines,24,2,37,0,0,23
saudi_arabia,11,7,57,12,0,19
brazil,9,0,20,2,0,78
